#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_measurement,Type,Sensor,_field
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T07:50:00.52Z,8,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T08:50:00.52Z,5,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T09:50:00.52Z,3,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T10:50:00.52Z,5,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T11:50:00.52Z,7,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T12:50:00.52Z,6,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T13:50:00.52Z,10,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T14:50:00.52Z,3,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T15:50:00.52Z,9,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T16:50:00.52Z,10,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T17:50:00.52Z,9,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T18:50:00.52Z,7,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T19:50:00.52Z,8,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T20:50:00.52Z,6,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T21:50:00.52Z,5,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T22:50:00.52Z,3,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T23:50:00.52Z,6,Tower 1,Wind Velocity,Anemometer,ESP32
